	α15.2,α46.4,α48.4,α51.5,α51.6,α20.4,α15.2.1,α46.4.1,α48.4.1,α51.5.1,α51.6.1,α20.4.1
bSNP879,0.0543480642546905,0.0373869609739951,0.0400178178382356,0.0399715318867226,0.0543638650210783,-0.0232266618873824,0.0210915638130542,0.0235839243395274,0.0212283312263478,0.0248820278486231,0.0131430484577771,-0.0133603726197724
bSNP907,0.906879746279489,0.101615347513918,0.100213896285867,0.0641849405660914,0.0800997380017585,-0.025027515138172,0.914776056376547,0.0923324616329271,0.0781825602010368,0.0273841381306418,0.0578545464009584,-0.014359914203303
bSNP908,0.0348078020571539,0.323305338964678,0.263132138667594,0.0519056935666673,0.0479105895412229,-0.0182223249805277,0.0210264054339117,0.379904264789856,0.273117125821856,0.0345637159265312,0.041533988843544,0.0033905912996423
bSNP915,0.0338123307637586,0.0523061209111903,0.0279132596251657,0.0471942263548121,0.0694710557167198,-0.0323596926372991,0.0113129454494445,0.0603291981963233,0.0250695463669596,0.0281781115518605,0.0157449133523899,0.0014693971941489
bSNP916,0.926022522561502,0.0413847394724559,0.0465316235193685,0.0166368551028445,0.0464035383545021,-0.0046730565647818,0.936265658360892,0.0554955138803151,0.027100394318665,0.0296263291615405,0.0285926762642637,0.0099216526305677
bSNP920,0.903748559614788,0.042507866759758,0.0318026628696627,0.041230984493728,0.0421143028542201,-0.0018405360472744,0.932981917400036,0.0447424216916414,0.0340873786094418,0.0223354860949055,0.0243028158840316,-0.0145907570569725
bSNP924,0.0372892660204584,0.0536535111861566,0.0236316576069571,0.043438270214024,0.0586682844488759,-0.0180773145233135,0.0177848281889696,0.0386064767647669,0.0132254299484155,0.0340508024103155,0.0420437767102941,0.0055462291871541
bSNP927,0.906894063098023,0.0403461601314194,0.054863846668522,0.0226729118073555,0.0469935148668511,-0.0090630138533061,0.925125661671777,0.0346321176029275,0.0266081280759696,0.0231400981675428,0.0247953282549313,0.0069248596301187
bSNP1274,0.0248504842091124,0.0168628708817673,0.017647723054369,0.0116053636486379,0.0488366964197086,0.0169277152853769,0.0211754385776286,0.0410582554031052,0.0314385378306353,0.0326826970212479,0.0534327169529437,-0.0116592694368642
bSNP1276,0.0691841621005313,0.0235302215229672,0.0687956093744577,0.0253190053801314,0.0857966465957459,0.0124061460917126,0.073998795086318,0.0331027647290002,0.072200681715014,0.0232917502123948,0.0753104326436243,-0.016831760904993
bSNP1277,0.0918910597880852,0.074853807186037,0.0954108483928043,0.0647290956798435,0.115516427371788,-0.0268904864242596,0.0806886612294586,0.0269028881780705,0.0905537954620092,0.008939196055037,0.104569771018445,0.0075801952336499
bSNP1278,0.108017467551531,0.118333716838306,0.135880438653888,0.0991077127460411,0.119603632670971,-0.0108553221524321,0.0398851583923213,0.0548070380253455,0.0325357106413876,0.0594706803021876,0.0356343808065012,0.0219301687269427
bSNP1279,0.608659296900116,0.0978708456276102,0.103969448264371,0.0827563006737421,0.117703718282812,-0.0194982322617602,0.914985425147592,0.0461669920922579,0.0605626158663024,0.0129279903308424,0.0765378261156564,0.0137471998792041
bSNP1280,0.0448527219555909,0.0713728484520275,0.0897904030370329,0.0571948043064023,0.0926795410632993,-0.0275252072690417,0.0051246748898525,0.0247563903603418,0.0129834665196179,0.0149760421823702,0.0341704120810302,0.0015039551428174
bSNP1282,0.0512075870225703,0.0313272326716325,0.0494814693570128,0.0290236396055597,0.0851104547992764,0.0434153684444511,0.0355496448247791,0.0330882915992185,0.0287712971031042,0.0288190844020092,0.054679610292684,0.0787114490004478
bSNP1284,0.0419015812241789,0.0572589409876977,0.111388522778921,0.075328221541548,0.0759264535878697,0.0392828986076857,0.0530963287176708,0.0636794708514661,0.0813047893215692,0.0403599857746189,0.0768961393408296,-0.0519168690150562
bSNP1285,0.0857023183427536,0.0585077875757258,0.102855670068745,0.0427657625600457,0.123215282507539,-0.0119557614380383,0.0398183584911577,0.0370676461045972,0.0533344739822767,0.0441182929598626,0.0852259104850547,0.0011161767268293
bSNP1286,0.0461040205329777,0.0927465001413824,0.0937412191252803,0.0894426817591522,0.112429063313651,0.0397169300749052,0.0363932755649513,0.0817656012414124,0.0490221582661682,0.066058685051605,0.0753498181223518,0.0301611828491491
bSNP1287,0.015427776896571,0.0873372526785194,0.0681485570735982,0.0746154025195764,0.110110022792573,0.0568288811757935,0.0224060896492767,0.106774887621102,0.0854270387932111,0.108452030568983,0.124545997120513,0.0129395352364668
bSNP1288,-0.0190168779857602,-0.0040660356550228,-0.0127355919498799,0.0039728645452303,-0.0201293235427426,-0.006393899844842,0.0147143319010082,0.032807230472131,0.0041994734695149,0.0155532879306183,0.0309071570883037,0.0034573525110975
bSNP1290,0.865599520349899,0.871508592719748,0.862337748773862,0.860910158367759,0.448358875969689,-0.0096643088426875,0.902799172937297,0.901181699648229,0.679629913876673,0.662892126531092,0.421941516229951,0.0290287548505113
bSNP1291,0.0434343376514445,0.0263175188969683,0.0505692032974274,0.0184011440269024,0.0591743652701688,-0.0275437106182965,0.0452208603100754,0.0326271399580433,0.052765464810995,0.0278895666806265,0.0365177544683362,0.0191626185732806
bSNP1297,-0.0026926999152658,0.0252009588692548,-0.0096424459501325,0.025915557461199,0.007986495097793,-0.0158237685327733,-0.0133612883800859,0.0265520039657676,0.0048836407466231,0.0443359708491074,0.0160532064684219,0.0234281281814936
bSNP1299,0.23636962848609,0.348655562460324,0.344309151473584,0.313270985607142,0.307147856881072,-0.0229802251435182,0.125493158901759,0.406455821564366,0.370749524934721,0.323199879566406,0.302199477707489,-0.000736256687813741
